Season,Date,LeftTeam,LeftScore,RightScore,RightTeam,Overtime
2018-2019,2019-02-27,Atlanta Hawks,131,123,Minnesota Timberwolves,1OT
2018-2019,2019-02-27,Brooklyn Nets,116,125,Washington Wizards,0OT
2018-2019,2019-02-27,Miami Heat,126,125,Golden State Warriors,0OT
2018-2019,2019-02-27,Boston Celtics,92,97,Portland Trail Blazers,0OT
2018-2019,2019-02-27,Memphis Grizzlies,107,109,Chicago Bulls,0OT
2018-2019,2019-02-27,Dallas Mavericks,110,101,Indiana Pacers,0OT
2018-2019,2019-02-27,San Antonio Spurs,105,93,Detroit Pistons,0OT
2018-2019,2019-02-27,Utah Jazz,111,105,Los Angeles Clippers,0OT
2018-2019,2019-02-27,Sacramento Kings,140,141,Milwaukee Bucks,1OT
2018-2019,2019-02-27,Los Angeles Lakers,125,119,New Orleans Pelicans,0OT
2018-2019,2019-02-28,Indiana Pacers,122,115,Minnesota Timberwolves,0OT
2018-2019,2019-02-28,Orlando Magic,103,96,Golden State Warriors,0OT
2018-2019,2019-02-28,New York Knicks,118,125,Cleveland Cavaliers,0OT
2018-2019,2019-02-28,Houston Rockets,121,118,Miami Heat,0OT
2018-2019,2019-02-28,Oklahoma City Thunder,104,108,Philadelphia 76ers,0OT
2018-2019,2019-02-28,Denver Nuggets,104,111,Utah Jazz,0OT
2018-2019,2019-03-01,Atlanta Hawks,161,168,Chicago Bulls,4OT
2018-2019,2019-03-01,Brooklyn Nets,112,123,Charlotte Hornets,0OT
2018-2019,2019-03-01,Boston Celtics,107,96,Washington Wizards,0OT
2018-2019,2019-03-01,Toronto Raptors,119,117,Portland Trail Blazers,0OT
2018-2019,2019-03-01,Phoenix Suns,116,130,New Orleans Pelicans,0OT
2018-2019,2019-03-01,Sacramento Kings,109,116,Los Angeles Clippers,0OT
2018-2019,2019-03-01,Los Angeles Lakers,120,131,Milwaukee Bucks,0OT
2018-2019,2019-03-02,Cleveland Cavaliers,93,129,Detroit Pistons,0OT
2018-2019,2019-03-02,Indiana Pacers,112,117,Orlando Magic,0OT
2018-2019,2019-03-02,Miami Heat,117,88,Brooklyn Nets,0OT
2018-2019,2019-03-02,Dallas Mavericks,81,111,Memphis Grizzlies,0OT
2018-2019,2019-03-02,Philadelphia 76ers,117,120,Golden State Warriors,0OT
2018-2019,2019-03-02,San Antonio Spurs,116,102,Oklahoma City Thunder,0OT
2018-2019,2019-03-02,Denver Nuggets,112,120,New Orleans Pelicans,0OT
2018-2019,2019-03-02,Phoenix Suns,118,109,Los Angeles Lakers,0OT
2018-2019,2019-03-02,Utah Jazz,115,111,Milwaukee Bucks,0OT
2018-2019,2019-03-03,Charlotte Hornets,108,118,Portland Trail Blazers,0OT
2018-2019,2019-03-03,Boston Celtics,104,115,Houston Rockets,0OT
2018-2019,2019-03-03,Chicago Bulls,118,123,Atlanta Hawks,0OT
2018-2019,2019-03-03,Los Angeles Clippers,128,107,New York Knicks,0OT
2018-2019,2019-03-03,Cleveland Cavaliers,107,93,Orlando Magic,0OT
2018-2019,2019-03-03,Detroit Pistons,112,107,Toronto Raptors,1OT
2018-2019,2019-03-03,Washington Wizards,135,121,Minnesota Timberwolves,0OT
2018-2019,2019-03-03,Oklahoma City Thunder,99,95,Memphis Grizzlies,0OT
2018-2019,2019-03-04,Brooklyn Nets,127,88,Dallas Mavericks,0OT
2018-2019,2019-03-04,Miami Heat,114,113,Atlanta Hawks,0OT
2018-2019,2019-03-04,San Antonio Spurs,104,103,Denver Nuggets,0OT
2018-2019,2019-03-04,Phoenix Suns,114,105,Milwaukee Bucks,0OT
2018-2019,2019-03-04,Utah Jazz,112,115,New Orleans Pelicans,0OT
2018-2019,2019-03-04,Sacramento Kings,115,108,New York Knicks,0OT
2018-2019,2019-03-04,Los Angeles Lakers,105,113,Los Angeles Clippers,0OT
2018-2019,2019-03-05,Indiana Pacers,105,96,Chicago Bulls,0OT
2018-2019,2019-03-05,Philadelphia 76ers,114,106,Orlando Magic,0OT
2018-2019,2019-03-05,Memphis Grizzlies,120,111,Portland Trail Blazers,0OT
2018-2019,2019-03-05,Minnesota Timberwolves,131,120,Oklahoma City Thunder,0OT
2018-2019,2019-03-05,Toronto Raptors,95,107,Houston Rockets,0OT
2018-2019,2019-03-05,Golden State Warriors,95,128,Boston Celtics,0OT
2018-2019,2019-03-06,Charlotte Hornets,84,91,Miami Heat,0OT
2018-2019,2019-03-06,Detroit Pistons,131,114,Minnesota Timberwolves,0OT
2018-2019,2019-03-06,Washington Wizards,132,123,Dallas Mavericks,0OT
2018-2019,2019-03-06,Atlanta Hawks,104,111,San Antonio Spurs,0OT
2018-2019,2019-03-06,Brooklyn Nets,113,107,Cleveland Cavaliers,0OT
2018-2019,2019-03-06,Chicago Bulls,108,107,Philadelphia 76ers,0OT
2018-2019,2019-03-06,New Orleans Pelicans,104,114,Utah Jazz,0OT
2018-2019,2019-03-06,Phoenix Suns,107,96,New York Knicks,0OT
2018-2019,2019-03-06,Sacramento Kings,109,111,Boston Celtics,0OT
2018-2019,2019-03-06,Los Angeles Lakers,99,115,Denver Nuggets,0OT
2018-2019,2019-03-07,Milwaukee Bucks,117,98,Indiana Pacers,0OT
2018-2019,2019-03-07,Portland Trail Blazers,121,129,Oklahoma City Thunder,1OT
2018-2019,2019-03-08,Charlotte Hornets,112,111,Washington Wizards,0OT
2018-2019,2019-03-08,Orlando Magic,111,106,Dallas Mavericks,0OT
2018-2019,2019-03-08,Chicago Bulls,104,112,Detroit Pistons,0OT
2018-2019,2019-03-08,Houston Rockets,107,91,Philadelphia 76ers,0OT
2018-2019,2019-03-08,Memphis Grizzlies,114,104,Utah Jazz,0OT
2018-2019,2019-03-08,Miami Heat,126,110,Cleveland Cavaliers,0OT
2018-2019,2019-03-08,New Orleans Pelicans,104,127,Toronto Raptors,0OT
2018-2019,2019-03-08,Golden State Warriors,122,105,Denver Nuggets,0OT
2018-2019,2019-03-08,Los Angeles Clippers,118,110,Oklahoma City Thunder,0OT
2018-2019,2019-03-09,New York Knicks,94,102,Sacramento Kings,0OT
2018-2019,2019-03-09,Atlanta Hawks,112,114,Brooklyn Nets,0OT
2018-2019,2019-03-09,Minnesota Timberwolves,135,130,Washington Wizards,1OT
2018-2019,2019-03-09,Los Angeles Lakers,107,120,Boston Celtics,0OT
2018-2019,2019-03-09,Milwaukee Bucks,131,114,Charlotte Hornets,0OT
2018-2019,2019-03-09,Portland Trail Blazers,127,120,Phoenix Suns,0OT
2018-2019,2019-03-10,Detroit Pistons,131,108,Chicago Bulls,0OT
2018-2019,2019-03-10,Miami Heat,104,125,Toronto Raptors,0OT
2018-2019,2019-03-10,Philadelphia 76ers,106,89,Indiana Pacers,0OT
2018-2019,2019-03-10,Atlanta Hawks,128,116,New Orleans Pelicans,0OT
2018-2019,2019-03-10,Memphis Grizzlies,105,97,Orlando Magic,0OT
2018-2019,2019-03-10,Dallas Mavericks,93,94,Houston Rockets,0OT
2018-2019,2019-03-10,Minnesota Timberwolves,103,92,New York Knicks,0OT
2018-2019,2019-03-10,San Antonio Spurs,121,114,Milwaukee Bucks,0OT
2018-2019,2019-03-10,Golden State Warriors,111,115,Phoenix Suns,0OT
2018-2019,2019-03-11,Cleveland Cavaliers,126,101,Toronto Raptors,0OT
2018-2019,2019-03-11,Washington Wizards,121,115,Sacramento Kings,0OT
2018-2019,2019-03-11,Brooklyn Nets,103,75,Detroit Pistons,0OT
2018-2019,2019-03-11,Houston Rockets,118,106,Charlotte Hornets,0OT
2018-2019,2019-03-11,Utah Jazz,89,98,Oklahoma City Thunder,0OT
2018-2019,2019-03-11,Los Angeles Clippers,140,115,Boston Celtics,0OT
2018-2019,2019-03-12,Indiana Pacers,103,98,New York Knicks,0OT
2018-2019,2019-03-12,Philadelphia 76ers,106,99,Cleveland Cavaliers,0OT
2018-2019,2019-03-12,Chicago Bulls,107,123,Los Angeles Lakers,0OT
2018-2019,2019-03-12,Dallas Mavericks,105,112,San Antonio Spurs,0OT
2018-2019,2019-03-12,New Orleans Pelicans,113,130,Milwaukee Bucks,0OT
2018-2019,2019-03-12,Denver Nuggets,133,107,Minnesota Timberwolves,0OT
2018-2019,2019-03-12,Los Angeles Clippers,104,125,Portland Trail Blazers,0OT
2018-2019,2019-03-13,Oklahoma City Thunder,108,96,Brooklyn Nets,0OT
2018-2019,2019-03-13,Washington Wizards,100,90,Orlando Magic,0OT
2018-2019,2019-03-13,Atlanta Hawks,132,111,Memphis Grizzlies,0OT
2018-2019,2019-03-13,Miami Heat,108,74,Detroit Pistons,0OT
2018-2019,2019-03-13,Houston Rockets,104,106,Golden State Warriors,0OT
2018-2019,2019-03-13,Phoenix Suns,97,114,Utah Jazz,0OT
2018-2019,2019-03-14,Indiana Pacers,108,106,Oklahoma City Thunder,0OT
2018-2019,2019-03-14,Orlando Magic,120,91,Cleveland Cavaliers,0OT
2018-2019,2019-03-14,Boston Celtics,126,120,Sacramento Kings,0OT
2018-2019,2019-03-14,Toronto Raptors,111,98,Los Angeles Lakers,0OT
2018-2019,2019-03-14,Utah Jazz,120,100,Minnesota Timberwolves,0OT
2018-2019,2019-03-14,Denver Nuggets,100,99,Dallas Mavericks,0OT
2018-2019,2019-03-15,Detroit Pistons,111,97,Los Angeles Lakers,0OT
2018-2019,2019-03-15,Philadelphia 76ers,123,114,Sacramento Kings,0OT
2018-2019,2019-03-15,Washington Wizards,110,116,Charlotte Hornets,0OT
2018-2019,2019-03-15,Houston Rockets,108,102,Phoenix Suns,0OT
2018-2019,2019-03-15,Miami Heat,98,113,Milwaukee Bucks,0OT
2018-2019,2019-03-15,New Orleans Pelicans,110,122,Portland Trail Blazers,0OT
2018-2019,2019-03-15,San Antonio Spurs,109,83,New York Knicks,0OT
2018-2019,2019-03-15,Los Angeles Clippers,128,121,Chicago Bulls,0OT
2018-2019,2019-03-16,Boston Celtics,129,120,Atlanta Hawks,0OT
2018-2019,2019-03-16,New Orleans Pelicans,136,138,Phoenix Suns,1OT
2018-2019,2019-03-16,Washington Wizards,135,128,Memphis Grizzlies,0OT
2018-2019,2019-03-16,Dallas Mavericks,121,116,Cleveland Cavaliers,0OT
2018-2019,2019-03-16,Oklahoma City Thunder,88,110,Golden State Warriors,0OT
2018-2019,2019-03-16,San Antonio Spurs,108,103,Portland Trail Blazers,0OT
2018-2019,2019-03-16,Denver Nuggets,102,100,Indiana Pacers,0OT
2018-2019,2019-03-16,Utah Jazz,114,98,Brooklyn Nets,0OT
2018-2019,2019-03-17,New York Knicks,124,123,Los Angeles Lakers,0OT
2018-2019,2019-03-17,Miami Heat,93,75,Charlotte Hornets,0OT
2018-2019,2019-03-17,Milwaukee Bucks,125,130,Philadelphia 76ers,0OT
2018-2019,2019-03-17,Detroit Pistons,110,107,Toronto Raptors,0OT
2018-2019,2019-03-17,Orlando Magic,101,91,Atlanta Hawks,0OT
2018-2019,2019-03-17,Sacramento Kings,129,102,Chicago Bulls,0OT
2018-2019,2019-03-17,Houston Rockets,117,102,Minnesota Timberwolves,0OT
2018-2019,2019-03-17,Los Angeles Clippers,119,116,Brooklyn Nets,0OT
2018-2019,2019-03-18,Cleveland Cavaliers,126,119,Detroit Pistons,0OT
2018-2019,2019-03-18,Washington Wizards,95,116,Utah Jazz,0OT
2018-2019,2019-03-18,Boston Celtics,105,114,Denver Nuggets,0OT
2018-2019,2019-03-18,Toronto Raptors,128,92,New York Knicks,0OT
2018-2019,2019-03-18,Oklahoma City Thunder,107,116,Miami Heat,0OT
2018-2019,2019-03-18,San Antonio Spurs,111,105,Golden State Warriors,0OT
2018-2019,2019-03-18,Dallas Mavericks,125,129,New Orleans Pelicans,1OT
2018-2019,2019-03-18,Phoenix Suns,101,116,Chicago Bulls,0OT
2018-2019,2019-03-18,Portland Trail Blazers,106,98,Indiana Pacers,0OT
2018-2019,2019-03-19,Charlotte Hornets,114,118,Philadelphia 76ers,0OT
2018-2019,2019-03-19,Atlanta Hawks,105,121,Houston Rockets,0OT
2018-2019,2019-03-19,Milwaukee Bucks,115,101,Los Angeles Lakers,0OT
2018-2019,2019-03-19,Minnesota Timberwolves,107,117,Golden State Warriors,0OT
2018-2019,2019-03-19,Sacramento Kings,121,123,Brooklyn Nets,0OT
2018-2019,2019-03-19,Los Angeles Clippers,115,109,Indiana Pacers,0OT
2018-2019,2019-03-20,Cleveland Cavaliers,107,102,Milwaukee Bucks,0OT
2018-2019,2019-03-20,Orlando Magic,119,96,New Orleans Pelicans,0OT
2018-2019,2019-03-20,Philadelphia 76ers,118,115,Boston Celtics,0OT
2018-2019,2019-03-20,New York Knicks,116,137,Utah Jazz,0OT
2018-2019,2019-03-20,Chicago Bulls,126,120,Washington Wizards,1OT
2018-2019,2019-03-20,Memphis Grizzlies,126,125,Houston Rockets,1OT
2018-2019,2019-03-20,San Antonio Spurs,105,110,Miami Heat,0OT
2018-2019,2019-03-20,Oklahoma City Thunder,114,123,Toronto Raptors,1OT
2018-2019,2019-03-20,Portland Trail Blazers,126,118,Dallas Mavericks,0OT
2018-2019,2019-03-21,Charlotte Hornets,113,106,Minnesota Timberwolves,0OT
2018-2019,2019-03-21,Washington Wizards,108,113,Denver Nuggets,0OT
2018-2019,2019-03-21,Atlanta Hawks,117,114,Utah Jazz,0OT
2018-2019,2019-03-21,Phoenix Suns,98,118,Detroit Pistons,0OT
2018-2019,2019-03-21,Sacramento Kings,116,100,Dallas Mavericks,0OT
2018-2019,2019-03-21,Golden State Warriors,112,89,Indiana Pacers,0OT
2018-2019,2019-03-22,Orlando Magic,123,119,Memphis Grizzlies,1OT
2018-2019,2019-03-22,Cleveland Cavaliers,108,110,Los Angeles Clippers,0OT
2018-2019,2019-03-22,New York Knicks,93,111,Denver Nuggets,0OT
2018-2019,2019-03-22,Toronto Raptors,109,116,Oklahoma City Thunder,0OT
2018-2019,2019-03-22,Houston Rockets,111,105,San Antonio Spurs,0OT
2018-2019,2019-03-22,Milwaukee Bucks,116,87,Miami Heat,0OT
2018-2019,2019-03-22,Los Angeles Lakers,106,111,Brooklyn Nets,0OT
2018-2019,2019-03-23,Charlotte Hornets,124,117,Boston Celtics,0OT
2018-2019,2019-03-23,Washington Wizards,108,113,Miami Heat,0OT
2018-2019,2019-03-23,Atlanta Hawks,129,127,Philadelphia 76ers,0OT
2018-2019,2019-03-23,Chicago Bulls,83,114,Utah Jazz,0OT
2018-2019,2019-03-23,Memphis Grizzlies,99,112,Minnesota Timberwolves,0OT
2018-2019,2019-03-23,Golden State Warriors,91,126,Dallas Mavericks,0OT
2018-2019,2019-03-23,Portland Trail Blazers,117,112,Detroit Pistons,0OT
2018-2019,2019-03-23,Sacramento Kings,112,103,Phoenix Suns,0OT
2018-2019,2019-03-24,New York Knicks,113,124,Los Angeles Clippers,0OT
2018-2019,2019-03-24,Milwaukee Bucks,127,105,Cleveland Cavaliers,0OT
2018-2019,2019-03-24,Indiana Pacers,124,88,Denver Nuggets,0OT
2018-2019,2019-03-24,Toronto Raptors,114,115,Charlotte Hornets,0OT
2018-2019,2019-03-24,New Orleans Pelicans,90,113,Houston Rockets,0OT
2018-2019,2019-03-24,Boston Celtics,96,115,San Antonio Spurs,0OT
2018-2019,2019-03-24,Golden State Warriors,121,114,Detroit Pistons,0OT
2018-2019,2019-03-24,Los Angeles Lakers,111,106,Sacramento Kings,0OT
2018-2019,2019-03-25,Orlando Magic,119,98,Philadelphia 76ers,0OT
2018-2019,2019-03-25,Memphis Grizzlies,115,103,Oklahoma City Thunder,0OT
2018-2019,2019-03-25,Utah Jazz,125,92,Phoenix Suns,0OT
2018-2019,2019-03-25,Portland Trail Blazers,148,144,Brooklyn Nets,2OT
2018-2019,2019-03-26,Charlotte Hornets,125,116,San Antonio Spurs,1OT
2018-2019,2019-03-26,Cleveland Cavaliers,106,116,Boston Celtics,0OT
2018-2019,2019-03-26,Miami Heat,99,104,Orlando Magic,0OT
2018-2019,2019-03-26,Toronto Raptors,112,103,Chicago Bulls,0OT
2018-2019,2019-03-26,Milwaukee Bucks,108,94,Houston Rockets,0OT
2018-2019,2019-03-26,Minnesota Timberwolves,111,122,Los Angeles Clippers,0OT
2018-2019,2019-03-26,New Orleans Pelicans,120,130,Atlanta Hawks,0OT
2018-2019,2019-03-26,Dallas Mavericks,121,125,Sacramento Kings,0OT
2018-2019,2019-03-26,Denver Nuggets,95,92,Detroit Pistons,0OT
2018-2019,2019-03-26,Los Angeles Lakers,124,106,Washington Wizards,0OT
2018-2019,2019-03-27,Chicago Bulls,98,118,Portland Trail Blazers,0OT
2018-2019,2019-03-27,Memphis Grizzlies,103,118,Golden State Warriors,0OT
2018-2019,2019-03-27,Oklahoma City Thunder,107,99,Indiana Pacers,0OT
2018-2019,2019-03-27,Phoenix Suns,121,124,Washington Wizards,0OT
2018-2019,2019-03-27,Utah Jazz,115,100,Los Angeles Lakers,0OT
2018-2019,2019-03-28,Detroit Pistons,115,98,Orlando Magic,0OT
2018-2019,2019-03-28,Philadelphia 76ers,123,110,Brooklyn Nets,0OT
2018-2019,2019-03-28,Miami Heat,105,99,Dallas Mavericks,0OT
2018-2019,2019-03-28,New York Knicks,92,117,Toronto Raptors,0OT
2018-2019,2019-03-28,Houston Rockets,112,85,Denver Nuggets,0OT
2018-2019,2019-03-28,Milwaukee Bucks,128,118,Los Angeles Clippers,0OT
2018-2019,2019-03-28,New Orleans Pelicans,121,118,Sacramento Kings,0OT
2018-2019,2019-03-28,San Antonio Spurs,116,110,Cleveland Cavaliers,0OT
2018-2019,2019-03-29,Boston Celtics,114,112,Indiana Pacers,0OT
2018-2019,2019-03-29,Atlanta Hawks,98,118,Portland Trail Blazers,0OT
2018-2019,2019-03-29,Minnesota Timberwolves,131,130,Golden State Warriors,1OT
2018-2019,2019-03-29,Oklahoma City Thunder,105,115,Denver Nuggets,0OT
2018-2019,2019-03-29,Utah Jazz,128,124,Washington Wizards,0OT
2018-2019,2019-03-29,Los Angeles Lakers,129,115,Charlotte Hornets,0OT
2018-2019,2019-03-30,Los Angeles Clippers,132,108,Cleveland Cavaliers,0OT
2018-2019,2019-03-30,Brooklyn Nets,110,96,Boston Celtics,0OT
2018-2019,2019-03-30,Houston Rockets,119,108,Sacramento Kings,0OT
2018-2019,2019-03-30,Detroit Pistons,99,90,Portland Trail Blazers,0OT
2018-2019,2019-03-30,Indiana Pacers,116,121,Orlando Magic,0OT
2018-2019,2019-03-30,New York Knicks,92,100,Miami Heat,0OT
2018-2019,2019-03-30,Chicago Bulls,101,124,Toronto Raptors,0OT
2018-2019,2019-03-30,Minnesota Timberwolves,109,118,Philadelphia 76ers,0OT
2018-2019,2019-03-30,Phoenix Suns,115,120,Memphis Grizzlies,0OT
2018-2019,2019-03-31,Atlanta Hawks,136,135,Milwaukee Bucks,1OT
2018-2019,2019-03-31,Oklahoma City Thunder,103,106,Dallas Mavericks,0OT
2018-2019,2019-03-31,New Orleans Pelicans,102,130,Los Angeles Lakers,0OT
2018-2019,2019-03-31,San Antonio Spurs,106,113,Sacramento Kings,0OT
2018-2019,2019-03-31,Denver Nuggets,90,95,Washington Wizards,0OT
2018-2019,2019-03-31,Golden State Warriors,137,90,Charlotte Hornets,0OT
2018-2019,2019-03-31,Los Angeles Clippers,113,96,Memphis Grizzlies,0OT
2018-2019,2019-04-01,Indiana Pacers,111,102,Detroit Pistons,0OT
2018-2019,2019-04-01,Boston Celtics,110,105,Miami Heat,0OT
2018-2019,2019-04-01,Brooklyn Nets,121,131,Milwaukee Bucks,0OT
2018-2019,2019-04-01,New York Knicks,113,105,Chicago Bulls,0OT
2018-2019,2019-04-01,Toronto Raptors,121,109,Orlando Magic,0OT
2018-2019,2019-04-01,Minnesota Timberwolves,122,132,Portland Trail Blazers,0OT
2018-2019,2019-04-01,Dallas Mavericks,122,102,Philadelphia 76ers,0OT
2018-2019,2019-04-01,Utah Jazz,111,102,Charlotte Hornets,0OT
2018-2019,2019-04-01,Phoenix Suns,122,113,Cleveland Cavaliers,0OT
2018-2019,2019-04-02,Oklahoma City Thunder,119,103,Los Angeles Lakers,0OT
2018-2019,2019-04-02,San Antonio Spurs,117,111,Atlanta Hawks,0OT
2018-2019,2019-04-02,Sacramento Kings,105,130,Houston Rockets,0OT
2018-2019,2019-04-02,Golden State Warriors,116,102,Denver Nuggets,0OT
2018-2019,2019-04-03,Detroit Pistons,89,108,Indiana Pacers,0OT
2018-2019,2019-04-03,Orlando Magic,114,100,New York Knicks,0OT
2018-2019,2019-04-03,Washington Wizards,114,115,Chicago Bulls,0OT
2018-2019,2019-04-03,Atlanta Hawks,130,122,Philadelphia 76ers,0OT
2018-2019,2019-04-03,Brooklyn Nets,105,115,Toronto Raptors,0OT
2018-2019,2019-04-03,Miami Heat,102,112,Boston Celtics,0OT
2018-2019,2019-04-03,New Orleans Pelicans,109,115,Charlotte Hornets,0OT
2018-2019,2019-04-03,Dallas Mavericks,108,110,Minnesota Timberwolves,0OT
2018-2019,2019-04-03,Denver Nuggets,113,85,San Antonio Spurs,0OT
2018-2019,2019-04-03,Phoenix Suns,97,118,Utah Jazz,0OT
2018-2019,2019-04-03,Portland Trail Blazers,116,89,Memphis Grizzlies,0OT
2018-2019,2019-04-03,Los Angeles Clippers,103,135,Houston Rockets,0OT
2018-2019,2019-04-04,Philadelphia 76ers,122,128,Milwaukee Bucks,0OT
2018-2019,2019-04-04,Sacramento Kings,117,104,Cleveland Cavaliers,0OT
2018-2019,2019-04-04,Los Angeles Lakers,90,108,Golden State Warriors,0OT
2018-2019,2019-04-05,Charlotte Hornets,113,111,Toronto Raptors,0OT
2018-2019,2019-04-05,Orlando Magic,149,113,Atlanta Hawks,0OT
2018-2019,2019-04-05,Washington Wizards,112,129,San Antonio Spurs,0OT
2018-2019,2019-04-05,Houston Rockets,120,96,New York Knicks,0OT
2018-2019,2019-04-05,Indiana Pacers,97,117,Boston Celtics,0OT
2018-2019,2019-04-05,Minnesota Timberwolves,111,109,Miami Heat,0OT
2018-2019,2019-04-05,Oklahoma City Thunder,123,110,Detroit Pistons,0OT
2018-2019,2019-04-05,Dallas Mavericks,112,122,Memphis Grizzlies,0OT
2018-2019,2019-04-05,Utah Jazz,119,98,Sacramento Kings,0OT
2018-2019,2019-04-05,Phoenix Suns,133,126,New Orleans Pelicans,1OT
2018-2019,2019-04-05,Denver Nuggets,119,110,Portland Trail Blazers,0OT
2018-2019,2019-04-05,Golden State Warriors,120,114,Cleveland Cavaliers,0OT
2018-2019,2019-04-05,Los Angeles Clippers,117,122,Los Angeles Lakers,0OT
2018-2019,2019-04-06,Milwaukee Bucks,128,133,Brooklyn Nets,0OT
2018-2019,2019-04-06,Chicago Bulls,96,116,Philadelphia 76ers,0OT
2018-2019,2019-04-07,Toronto Raptors,117,109,Miami Heat,1OT
2018-2019,2019-04-07,Cleveland Cavaliers,90,112,San Antonio Spurs,0OT
2018-2019,2019-04-07,Minnesota Timberwolves,126,132,Oklahoma City Thunder,0OT
2018-2019,2019-04-07,Detroit Pistons,91,104,Charlotte Hornets,0OT
2018-2019,2019-04-07,Indiana Pacers,96,108,Brooklyn Nets,0OT
2018-2019,2019-04-07,Memphis Grizzlies,127,129,Dallas Mavericks,1OT
2018-2019,2019-04-07,Houston Rockets,149,113,Phoenix Suns,0OT
2018-2019,2019-04-07,Milwaukee Bucks,115,107,Atlanta Hawks,0OT
2018-2019,2019-04-07,Boston Celtics,108,116,Orlando Magic,0OT
2018-2019,2019-04-07,New York Knicks,113,110,Washington Wizards,0OT
2018-2019,2019-04-07,Golden State Warriors,131,104,Los Angeles Clippers,0OT
2018-2019,2019-04-07,Portland Trail Blazers,115,108,Denver Nuggets,0OT
2018-2019,2019-04-07,Sacramento Kings,129,133,New Orleans Pelicans,0OT
2018-2019,2019-04-07,Los Angeles Lakers,113,109,Utah Jazz,0OT
2018-2019,2019-04-09,Cleveland Cavaliers,97,124,Charlotte Hornets,0OT
2018-2019,2019-04-09,Detroit Pistons,100,93,Memphis Grizzlies,0OT
2018-2019,2019-04-09,Washington Wizards,110,116,Boston Celtics,0OT
2018-2019,2019-04-09,Miami Heat,122,99,Philadelphia 76ers,0OT
2018-2019,2019-04-09,Chicago Bulls,86,96,New York Knicks,0OT
2018-2019,2019-04-09,Minnesota Timberwolves,100,120,Toronto Raptors,0OT
2018-2019,2019-04-09,New Orleans Pelicans,103,112,Golden State Warriors,0OT
2018-2019,2019-04-09,Dallas Mavericks,120,109,Phoenix Suns,0OT
2018-2019,2019-04-09,Utah Jazz,118,108,Denver Nuggets,0OT
2018-2019,2019-04-09,Oklahoma City Thunder,112,111,Houston Rockets,0OT
2018-2019,2019-04-09,Los Angeles Lakers,101,104,Portland Trail Blazers,0OT
2018-2019,2019-04-10,Atlanta Hawks,134,135,Indiana Pacers,0OT
2018-2019,2019-04-10,Brooklyn Nets,113,94,Miami Heat,0OT
2018-2019,2019-04-10,Charlotte Hornets,114,122,Orlando Magic,0OT
2018-2019,2019-04-10,Memphis Grizzlies,132,117,Golden State Warriors,0OT
2018-2019,2019-04-10,Milwaukee Bucks,116,127,Oklahoma City Thunder,0OT
2018-2019,2019-04-10,New York Knicks,89,115,Detroit Pistons,0OT
2018-2019,2019-04-10,Philadelphia 76ers,125,109,Chicago Bulls,0OT
2018-2019,2019-04-10,San Antonio Spurs,105,94,Dallas Mavericks,0OT
2018-2019,2019-04-10,Denver Nuggets,99,95,Minnesota Timberwolves,0OT
2018-2019,2019-04-10,Los Angeles Clippers,143,137,Utah Jazz,1OT
2018-2019,2019-04-10,Portland Trail Blazers,136,131,Sacramento Kings,0OT
2019-2020,2019-10-22,Toronto Raptors,130,122,New Orleans Pelicans,1OT
2019-2020,2019-10-22,Los Angeles Clippers,112,102,Los Angeles Lakers,0OT
2019-2020,2019-10-23,Charlotte Hornets,126,125,Chicago Bulls,0OT
2019-2020,2019-10-23,Indiana Pacers,110,119,Detroit Pistons,0OT
2019-2020,2019-10-23,Orlando Magic,94,85,Cleveland Cavaliers,0OT
2019-2020,2019-10-23,Brooklyn Nets,126,127,Minnesota Timberwolves,1OT
2019-2020,2019-10-23,Miami Heat,120,101,Memphis Grizzlies,0OT
2019-2020,2019-10-23,Philadelphia 76ers,107,93,Boston Celtics,0OT
2019-2020,2019-10-23,Dallas Mavericks,108,100,Washington Wizards,0OT
2019-2020,2019-10-23,San Antonio Spurs,120,111,New York Knicks,0OT
2019-2020,2019-10-23,Utah Jazz,100,95,Oklahoma City Thunder,0OT
2019-2020,2019-10-23,Phoenix Suns,124,95,Sacramento Kings,0OT
2019-2020,2019-10-23,Portland Trail Blazers,100,108,Denver Nuggets,0OT
2019-2020,2019-10-24,Detroit Pistons,100,117,Atlanta Hawks,0OT
2019-2020,2019-10-24,Houston Rockets,111,117,Milwaukee Bucks,0OT
2019-2020,2019-10-24,Golden State Warriors,122,141,Los Angeles Clippers,0OT
2019-2020,2019-10-25,Boston Celtics,112,106,Toronto Raptors,0OT
2019-2020,2019-10-25,Charlotte Hornets,99,121,Minnesota Timberwolves,0OT
2019-2020,2019-10-25,Brooklyn Nets,113,109,New York Knicks,0OT
2019-2020,2019-10-25,Memphis Grizzlies,102,110,Chicago Bulls,0OT
2019-2020,2019-10-25,New Orleans Pelicans,116,123,Dallas Mavericks,0OT
2019-2020,2019-10-25,Oklahoma City Thunder,85,97,Washington Wizards,0OT
2019-2020,2019-10-25,Denver Nuggets,108,107,Phoenix Suns,1OT
2019-2020,2019-10-25,Sacramento Kings,112,122,Portland Trail Blazers,0OT
2019-2020,2019-10-25,Los Angeles Lakers,95,86,Utah Jazz,0OT
2019-2020,2019-10-26,Milwaukee Bucks,126,131,Miami Heat,1OT
2019-2020,2019-10-26,Detroit Pistons,111,117,Philadelphia 76ers,0OT
