Season,Date,LeftTeam,LeftScore,RightScore,RightTeam,home_win_percentage,away_win_percentage
2019-2020,2019-11-18,Houston Rockets,132,108,Portland Trail Blazers,0.7692307692307693,0.38461538461538464
2019-2020,2019-11-18,Dallas Mavericks,117,110,San Antonio Spurs,0.5833333333333334,0.38461538461538464
2019-2020,2019-11-18,Phoenix Suns,85,99,Boston Celtics,0.6363636363636364,0.8333333333333334
2019-2020,2019-11-18,Utah Jazz,102,112,Minnesota Timberwolves,0.6666666666666666,0.5384615384615384
2019-2020,2019-11-18,Los Angeles Clippers,90,88,Oklahoma City Thunder,0.6153846153846154,0.4166666666666667
2019-2020,2019-11-19,Memphis Grizzlies,95,114,Golden State Warriors,0.38461538461538464,0.14285714285714285
2019-2020,2019-11-19,New Orleans Pelicans,115,104,Portland Trail Blazers,0.3076923076923077,0.35714285714285715
2019-2020,2019-11-19,Sacramento Kings,120,116,Phoenix Suns,0.4166666666666667,0.5833333333333334
2019-2020,2019-11-19,Los Angeles Lakers,112,107,Oklahoma City Thunder,0.8461538461538461,0.38461538461538464
2019-2020,2019-11-20,Philadelphia 76ers,109,104,New York Knicks,0.6153846153846154,0.2857142857142857
2019-2020,2019-11-20,Washington Wizards,138,132,San Antonio Spurs,0.2727272727272727,0.35714285714285715
2019-2020,2019-11-20,Atlanta Hawks,127,135,Milwaukee Bucks,0.3076923076923077,0.7692307692307693
2019-2020,2019-11-20,Brooklyn Nets,101,91,Charlotte Hornets,0.38461538461538464,0.42857142857142855
2019-2020,2019-11-20,Dallas Mavericks,142,94,Golden State Warriors,0.6153846153846154,0.2
2019-2020,2019-11-20,Miami Heat,124,100,Cleveland Cavaliers,0.75,0.3076923076923077
2019-2020,2019-11-20,Toronto Raptors,113,97,Orlando Magic,0.6923076923076923,0.46153846153846156
2019-2020,2019-11-20,Chicago Bulls,109,89,Detroit Pistons,0.2857142857142857,0.3076923076923077
2019-2020,2019-11-20,Minnesota Timberwolves,95,103,Utah Jazz,0.5714285714285714,0.6153846153846154
2019-2020,2019-11-20,Denver Nuggets,105,95,Houston Rockets,0.75,0.7857142857142857
2019-2020,2019-11-20,Los Angeles Clippers,107,104,Boston Celtics,0.6428571428571429,0.8461538461538461
2019-2020,2019-11-21,Milwaukee Bucks,137,129,Portland Trail Blazers,0.7857142857142857,0.3333333333333333
2019-2020,2019-11-21,Phoenix Suns,121,124,New Orleans Pelicans,0.5384615384615384,0.35714285714285715
2019-2020,2019-11-22,Detroit Pistons,128,103,Atlanta Hawks,0.2857142857142857,0.2857142857142857
2019-2020,2019-11-22,Washington Wizards,125,118,Charlotte Hornets,0.3333333333333333,0.4
2019-2020,2019-11-22,Brooklyn Nets,116,97,Sacramento Kings,0.42857142857142855,0.46153846153846156
2019-2020,2019-11-22,Chicago Bulls,108,116,Miami Heat,0.3333333333333333,0.7692307692307693
2019-2020,2019-11-22,Oklahoma City Thunder,127,130,Los Angeles Lakers,0.35714285714285715,0.8571428571428571
2019-2020,2019-11-22,Philadelphia 76ers,115,104,San Antonio Spurs,0.6428571428571429,0.3333333333333333
2019-2020,2019-11-22,Dallas Mavericks,143,101,Cleveland Cavaliers,0.6428571428571429,0.2857142857142857
2019-2020,2019-11-22,Denver Nuggets,96,92,Boston Celtics,0.7692307692307693,0.7857142857142857
2019-2020,2019-11-22,Utah Jazz,113,109,Golden State Warriors,0.6428571428571429,0.1875
2019-2020,2019-11-22,Los Angeles Clippers,122,119,Houston Rockets,0.6666666666666666,0.7333333333333333
2019-2020,2019-11-23,Minnesota Timberwolves,98,100,Phoenix Suns,0.5333333333333333,0.5
2019-2020,2019-11-23,Charlotte Hornets,115,116,Chicago Bulls,0.375,0.3125
2019-2020,2019-11-23,Indiana Pacers,111,106,Orlando Magic,0.5714285714285714,0.42857142857142855
2019-2020,2019-11-23,Atlanta Hawks,116,119,Toronto Raptors,0.26666666666666666,0.7142857142857143
2019-2020,2019-11-23,New York Knicks,104,111,San Antonio Spurs,0.26666666666666666,0.3125
2019-2020,2019-11-23,Philadelphia 76ers,113,86,Miami Heat,0.6666666666666666,0.7857142857142857
2019-2020,2019-11-23,Cleveland Cavaliers,110,104,Portland Trail Blazers,0.26666666666666666,0.3125
2019-2020,2019-11-23,Memphis Grizzlies,108,109,Los Angeles Lakers,0.35714285714285715,0.8666666666666667
2019-2020,2019-11-23,Milwaukee Bucks,104,90,Detroit Pistons,0.8,0.3333333333333333
2019-2020,2019-11-23,Utah Jazz,128,120,New Orleans Pelicans,0.6666666666666666,0.4
2019-2020,2019-11-24,Houston Rockets,123,137,Dallas Mavericks,0.6875,0.6666666666666666
2019-2020,2019-11-24,New York Knicks,101,103,Brooklyn Nets,0.25,0.4666666666666667
2019-2020,2019-11-24,Washington Wizards,106,113,Sacramento Kings,0.38461538461538464,0.42857142857142855
2019-2020,2019-11-24,Denver Nuggets,116,104,Phoenix Suns,0.7857142857142857,0.5333333333333333
2019-2020,2019-11-24,Los Angeles Clippers,134,109,New Orleans Pelicans,0.6875,0.375
2019-2020,2019-11-25,Cleveland Cavaliers,106,108,Brooklyn Nets,0.3125,0.5
2019-2020,2019-11-25,Detroit Pistons,103,88,Orlando Magic,0.3125,0.4
2019-2020,2019-11-25,Indiana Pacers,126,114,Memphis Grizzlies,0.6,0.3333333333333333
2019-2020,2019-11-25,Atlanta Hawks,113,125,Minnesota Timberwolves,0.25,0.5
2019-2020,2019-11-25,Boston Celtics,103,102,Sacramento Kings,0.7333333333333333,0.4666666666666667
2019-2020,2019-11-25,Miami Heat,117,100,Charlotte Hornets,0.7333333333333333,0.35294117647058826
2019-2020,2019-11-25,Toronto Raptors,101,96,Philadelphia 76ers,0.7333333333333333,0.6875
2019-2020,2019-11-25,Chicago Bulls,94,117,Portland Trail Blazers,0.35294117647058826,0.29411764705882354
2019-2020,2019-11-25,Milwaukee Bucks,122,118,Utah Jazz,0.8125,0.6875
2019-2020,2019-11-25,San Antonio Spurs,104,114,Los Angeles Lakers,0.35294117647058826,0.875
2019-2020,2019-11-25,Golden State Warriors,97,100,Oklahoma City Thunder,0.17647058823529413,0.3333333333333333
2019-2020,2019-11-26,Dallas Mavericks,99,114,Los Angeles Clippers,0.6875,0.7058823529411765
2019-2020,2019-11-26,Denver Nuggets,117,104,Washington Wizards,0.8,0.35714285714285715
2019-2020,2019-11-27,Boston Celtics,121,110,Brooklyn Nets,0.75,0.5294117647058824
2019-2020,2019-11-27,Charlotte Hornets,102,101,Detroit Pistons,0.3333333333333333,0.35294117647058826
2019-2020,2019-11-27,Cleveland Cavaliers,104,116,Orlando Magic,0.29411764705882354,0.375
2019-2020,2019-11-27,Indiana Pacers,121,102,Utah Jazz,0.625,0.6470588235294118
2019-2020,2019-11-27,Philadelphia 76ers,97,91,Sacramento Kings,0.6470588235294118,0.4375
2019-2020,2019-11-27,Toronto Raptors,126,98,New York Knicks,0.75,0.23529411764705882
2019-2020,2019-11-27,Houston Rockets,117,108,Miami Heat,0.6470588235294118,0.75
2019-2020,2019-11-27,Memphis Grizzlies,119,121,Los Angeles Clippers,0.3125,0.7222222222222222
2019-2020,2019-11-27,Milwaukee Bucks,111,102,Atlanta Hawks,0.8235294117647058,0.23529411764705882
2019-2020,2019-11-27,San Antonio Spurs,101,113,Minnesota Timberwolves,0.3333333333333333,0.5294117647058824
2019-2020,2019-11-27,Phoenix Suns,132,140,Washington Wizards,0.5,0.3333333333333333
2019-2020,2019-11-27,New Orleans Pelicans,110,114,Los Angeles Lakers,0.35294117647058826,0.8823529411764706
2019-2020,2019-11-27,Portland Trail Blazers,136,119,Oklahoma City Thunder,0.3333333333333333,0.375
2019-2020,2019-11-27,Golden State Warriors,104,90,Chicago Bulls,0.16666666666666666,0.3333333333333333
2019-2020,2019-11-29,Brooklyn Nets,112,107,Boston Celtics,0.5,0.7647058823529411
2019-2020,2019-11-29,Detroit Pistons,107,110,Charlotte Hornets,0.3333333333333333,0.3684210526315789
2019-2020,2019-11-29,Orlando Magic,83,90,Toronto Raptors,0.4117647058823529,0.7647058823529411
2019-2020,2019-11-29,Cleveland Cavaliers,110,119,Milwaukee Bucks,0.2777777777777778,0.8333333333333334
2019-2020,2019-11-29,New York Knicks,95,101,Philadelphia 76ers,0.2222222222222222,0.6666666666666666
2019-2020,2019-11-29,Indiana Pacers,105,104,Atlanta Hawks,0.6470588235294118,0.2222222222222222
2019-2020,2019-11-29,Memphis Grizzlies,94,103,Utah Jazz,0.29411764705882354,0.6111111111111112
2019-2020,2019-11-29,Miami Heat,122,105,Golden State Warriors,0.7058823529411765,0.21052631578947367
2019-2020,2019-11-29,Oklahoma City Thunder,109,104,New Orleans Pelicans,0.35294117647058826,0.3333333333333333
2019-2020,2019-11-29,San Antonio Spurs,107,97,Los Angeles Clippers,0.3157894736842105,0.7368421052631579
2019-2020,2019-11-29,Phoenix Suns,113,120,Dallas Mavericks,0.47058823529411764,0.6470588235294118
2019-2020,2019-11-29,Portland Trail Blazers,107,103,Chicago Bulls,0.3684210526315789,0.3157894736842105
2019-2020,2019-11-29,Los Angeles Lakers,125,103,Washington Wizards,0.8888888888888888,0.375
2019-2020,2019-11-30,Sacramento Kings,100,97,Denver Nuggets,0.4117647058823529,0.8125
2019-2020,2019-11-30,Philadelphia 76ers,119,116,Indiana Pacers,0.6842105263157895,0.6666666666666666
2019-2020,2019-11-30,Houston Rockets,158,111,Atlanta Hawks,0.6666666666666666,0.21052631578947367
2019-2020,2019-11-30,Milwaukee Bucks,137,96,Charlotte Hornets,0.8421052631578947,0.4
2019-2020,2019-12-01,Brooklyn Nets,106,109,Miami Heat,0.5263157894736842,0.7222222222222222
2019-2020,2019-12-01,Minnesota Timberwolves,107,115,Memphis Grizzlies,0.5555555555555556,0.2777777777777778
2019-2020,2019-12-01,New York Knicks,104,113,Boston Celtics,0.21052631578947367,0.7222222222222222
2019-2020,2019-12-01,Los Angeles Lakers,100,114,Dallas Mavericks,0.8947368421052632,0.6666666666666666
2019-2020,2019-12-01,Detroit Pistons,132,98,San Antonio Spurs,0.3157894736842105,0.35
2019-2020,2019-12-01,New Orleans Pelicans,104,107,Oklahoma City Thunder,0.3157894736842105,0.3888888888888889
2019-2020,2019-12-01,Orlando Magic,100,96,Golden State Warriors,0.3888888888888889,0.2
2019-2020,2019-12-01,Toronto Raptors,130,110,Utah Jazz,0.7777777777777778,0.631578947368421
2019-2020,2019-12-01,Los Angeles Clippers,150,125,Washington Wizards,0.7,0.35294117647058826
2019-2020,2019-12-02,Charlotte Hornets,104,109,Phoenix Suns,0.38095238095238093,0.4444444444444444
2019-2020,2019-12-02,Philadelphia 76ers,103,94,Utah Jazz,0.7,0.6
2019-2020,2019-12-02,Atlanta Hawks,104,79,Golden State Warriors,0.2,0.19047619047619047
2019-2020,2019-12-02,Memphis Grizzlies,104,117,Indiana Pacers,0.3157894736842105,0.631578947368421
2019-2020,2019-12-02,Milwaukee Bucks,132,88,New York Knicks,0.85,0.2
2019-2020,2019-12-02,Sacramento Kings,106,113,Chicago Bulls,0.4444444444444444,0.3
2019-2020,2019-12-03,Cleveland Cavaliers,94,127,Detroit Pistons,0.2631578947368421,0.35
2019-2020,2019-12-03,Washington Wizards,120,127,Orlando Magic,0.3333333333333333,0.42105263157894735
2019-2020,2019-12-03,New Orleans Pelicans,97,118,Dallas Mavericks,0.3,0.6842105263157895
2019-2020,2019-12-03,Toronto Raptors,110,121,Miami Heat,0.7894736842105263,0.7368421052631579
2019-2020,2019-12-03,San Antonio Spurs,135,133,Houston Rockets,0.3333333333333333,0.6842105263157895
2019-2020,2019-12-03,Denver Nuggets,96,105,Los Angeles Lakers,0.7647058823529411,0.85
2019-2020,2019-12-03,Los Angeles Clippers,117,97,Portland Trail Blazers,0.7142857142857143,0.4
2019-2020,2019-12-04,Charlotte Hornets,106,91,Golden State Warriors,0.36363636363636365,0.18181818181818182
2019-2020,2019-12-04,Detroit Pistons,103,127,Milwaukee Bucks,0.38095238095238093,0.8571428571428571
2019-2020,2019-12-04,Orlando Magic,128,114,Phoenix Suns,0.45,0.47368421052631576
2019-2020,2019-12-04,Atlanta Hawks,118,130,Brooklyn Nets,0.23809523809523808,0.5
2019-2020,2019-12-04,Boston Celtics,112,93,Miami Heat,0.7368421052631579,0.75
2019-2020,2019-12-04,Chicago Bulls,106,99,Memphis Grizzlies,0.3333333333333333,0.3
2019-2020,2019-12-04,Oklahoma City Thunder,100,107,Indiana Pacers,0.42105263157894735,0.65
2019-2020,2019-12-04,Dallas Mavericks,121,114,Minnesota Timberwolves,0.7,0.5263157894736842
2019-2020,2019-12-04,Utah Jazz,96,121,Los Angeles Lakers,0.5714285714285714,0.8571428571428571
2019-2020,2019-12-04,Portland Trail Blazers,127,116,Sacramento Kings,0.38095238095238093,0.42105263157894735
2019-2020,2019-12-05,Washington Wizards,119,113,Philadelphia 76ers,0.3157894736842105,0.7142857142857143
2019-2020,2019-12-05,New York Knicks,92,129,Denver Nuggets,0.19047619047619047,0.7222222222222222
2019-2020,2019-12-05,Toronto Raptors,109,119,Houston Rockets,0.75,0.65
2019-2020,2019-12-05,New Orleans Pelicans,132,139,Phoenix Suns,0.2857142857142857,0.45
2019-2020,2019-12-06,Charlotte Hornets,104,111,Brooklyn Nets,0.391304347826087,0.5238095238095238
2019-2020,2019-12-06,Cleveland Cavaliers,87,93,Orlando Magic,0.25,0.47619047619047616
2019-2020,2019-12-06,Detroit Pistons,108,101,Indiana Pacers,0.36363636363636365,0.6666666666666666
2019-2020,2019-12-06,Boston Celtics,108,95,Denver Nuggets,0.75,0.7368421052631579
2019-2020,2019-12-06,Chicago Bulls,98,100,Golden State Warriors,0.36363636363636365,0.17391304347826086
2019-2020,2019-12-06,Miami Heat,112,103,Washington Wizards,0.7142857142857143,0.35
2019-2020,2019-12-06,Oklahoma City Thunder,139,127,Minnesota Timberwolves,0.4,0.5
2019-2020,2019-12-06,Milwaukee Bucks,119,91,Los Angeles Clippers,0.8636363636363636,0.7272727272727273
2019-2020,2019-12-06,San Antonio Spurs,105,104,Sacramento Kings,0.36363636363636365,0.4
2019-2020,2019-12-06,Portland Trail Blazers,113,136,Los Angeles Lakers,0.4090909090909091,0.8636363636363636
2019-2020,2019-12-07,Dallas Mavericks,130,84,New Orleans Pelicans,0.7142857142857143,0.2727272727272727
2019-2020,2019-12-07,New York Knicks,103,104,Indiana Pacers,0.18181818181818182,0.6363636363636364
2019-2020,2019-12-07,Philadelphia 76ers,141,94,Cleveland Cavaliers,0.6818181818181818,0.23809523809523808
2019-2020,2019-12-07,Houston Rockets,115,109,Phoenix Suns,0.6666666666666666,0.47619047619047616
2019-2020,2019-12-07,Utah Jazz,126,112,Memphis Grizzlies,0.5454545454545454,0.2857142857142857
2019-2020,2019-12-08,Brooklyn Nets,105,102,Denver Nuggets,0.5454545454545454,0.7
2019-2020,2019-12-08,Charlotte Hornets,107,122,Atlanta Hawks,0.375,0.22727272727272727
2019-2020,2019-12-08,Miami Heat,110,105,Chicago Bulls,0.7272727272727273,0.34782608695652173
2019-2020,2019-12-08,Philadelphia 76ers,110,104,Toronto Raptors,0.6956521739130435,0.7142857142857143
2019-2020,2019-12-08,Washington Wizards,119,135,Los Angeles Clippers,0.3333333333333333,0.6956521739130435
2019-2020,2019-12-08,Dallas Mavericks,106,110,Sacramento Kings,0.7272727272727273,0.38095238095238093
2019-2020,2019-12-08,Portland Trail Blazers,96,108,Oklahoma City Thunder,0.391304347826087,0.42857142857142855
2019-2020,2019-12-08,Los Angeles Lakers,142,125,Minnesota Timberwolves,0.8695652173913043,0.47619047619047616
2019-2020,2019-12-09,Indiana Pacers,99,110,Los Angeles Clippers,0.6521739130434783,0.7083333333333334
2019-2020,2019-12-09,Boston Celtics,110,88,Cleveland Cavaliers,0.7619047619047619,0.22727272727272727
2019-2020,2019-12-09,Chicago Bulls,92,93,Toronto Raptors,0.3333333333333333,0.6818181818181818
2019-2020,2019-12-09,Houston Rockets,118,119,Sacramento Kings,0.6818181818181818,0.4090909090909091
2019-2020,2019-12-09,Milwaukee Bucks,110,101,Orlando Magic,0.8695652173913043,0.5
2019-2020,2019-12-09,New Orleans Pelicans,103,105,Detroit Pistons,0.2608695652173913,0.391304347826087
2019-2020,2019-12-09,Phoenix Suns,125,109,Minnesota Timberwolves,0.45454545454545453,0.45454545454545453
2019-2020,2019-12-09,Utah Jazz,90,104,Oklahoma City Thunder,0.5652173913043478,0.45454545454545453
2019-2020,2019-12-09,Golden State Warriors,102,110,Memphis Grizzlies,0.20833333333333334,0.2727272727272727
2019-2020,2019-12-10,Charlotte Hornets,114,107,Washington Wizards,0.36,0.3181818181818182
2019-2020,2019-12-10,Miami Heat,135,121,Atlanta Hawks,0.7391304347826086,0.2608695652173913
2019-2020,2019-12-10,Philadelphia 76ers,97,92,Denver Nuggets,0.7083333333333334,0.6666666666666666
2019-2020,2019-12-10,Portland Trail Blazers,115,87,New York Knicks,0.375,0.17391304347826086
2019-2020,2019-12-11,Cleveland Cavaliers,110,116,Houston Rockets,0.21739130434782608,0.6521739130434783
2019-2020,2019-12-11,Indiana Pacers,122,117,Boston Celtics,0.625,0.7727272727272727
2019-2020,2019-12-11,Orlando Magic,87,96,Los Angeles Lakers,0.4782608695652174,0.875
2019-2020,2019-12-11,Toronto Raptors,92,112,Los Angeles Clippers,0.6956521739130435,0.72
2019-2020,2019-12-11,Brooklyn Nets,108,113,Charlotte Hornets,0.5652173913043478,0.38461538461538464
2019-2020,2019-12-11,Chicago Bulls,136,102,Atlanta Hawks,0.32,0.25
2019-2020,2019-12-11,Minnesota Timberwolves,116,127,Utah Jazz,0.43478260869565216,0.5416666666666666
2019-2020,2019-12-11,Phoenix Suns,108,115,Memphis Grizzlies,0.4782608695652174,0.30434782608695654
2019-2020,2019-12-11,Milwaukee Bucks,127,112,New Orleans Pelicans,0.875,0.25
2019-2020,2019-12-11,Sacramento Kings,94,93,Oklahoma City Thunder,0.43478260869565216,0.4782608695652174
2019-2020,2019-12-11,Golden State Warriors,122,124,New York Knicks,0.2,0.16666666666666666
2019-2020,2019-12-12,Boston Celtics,109,115,Philadelphia 76ers,0.7391304347826086,0.72
2019-2020,2019-12-12,San Antonio Spurs,109,117,Cleveland Cavaliers,0.391304347826087,0.20833333333333334
2019-2020,2019-12-12,Detroit Pistons,111,122,Dallas Mavericks,0.4166666666666667,0.6956521739130435
2019-2020,2019-12-12,Denver Nuggets,114,99,Portland Trail Blazers,0.6363636363636364,0.4
2019-2020,2019-12-13,Miami Heat,110,113,Los Angeles Lakers,0.75,0.88
2019-2020,2019-12-13,Orlando Magic,107,130,Houston Rockets,0.4583333333333333,0.6666666666666666
2019-2020,2019-12-13,Philadelphia 76ers,116,109,New Orleans Pelicans,0.7307692307692307,0.24
2019-2020,2019-12-13,Atlanta Hawks,100,110,Indiana Pacers,0.24,0.64
2019-2020,2019-12-13,Chicago Bulls,73,83,Charlotte Hornets,0.34615384615384615,0.4074074074074074
2019-2020,2019-12-13,Memphis Grizzlies,114,127,Milwaukee Bucks,0.3333333333333333,0.88
2019-2020,2019-12-13,Utah Jazz,114,106,Golden State Warriors,0.56,0.19230769230769232
2019-2020,2019-12-13,Minnesota Timberwolves,117,124,Los Angeles Clippers,0.4166666666666667,0.7307692307692307
2019-2020,2019-12-13,Sacramento Kings,101,103,New York Knicks,0.4583333333333333,0.2
2019-2020,2019-12-14,Phoenix Suns,119,121,San Antonio Spurs,0.4583333333333333,0.375
2019-2020,2019-12-14,Toronto Raptors,110,102,Brooklyn Nets,0.6666666666666666,0.5416666666666666
2019-2020,2019-12-14,Chicago Bulls,109,106,Los Angeles Clippers,0.3333333333333333,0.7407407407407407
2019-2020,2019-12-14,Memphis Grizzlies,128,111,Washington Wizards,0.32,0.30434782608695654
2019-2020,2019-12-14,Dallas Mavericks,118,122,Miami Heat,0.7083333333333334,0.72
2019-2020,2019-12-14,Milwaukee Bucks,125,108,Cleveland Cavaliers,0.8846153846153846,0.24
2019-2020,2019-12-14,Denver Nuggets,110,102,Oklahoma City Thunder,0.6521739130434783,0.4583333333333333
2019-2020,2019-12-14,Houston Rockets,107,115,Detroit Pistons,0.68,0.4
2019-2020,2019-12-15,New Orleans Pelicans,119,130,Orlando Magic,0.23076923076923078,0.44
2019-2020,2019-12-15,Indiana Pacers,107,85,Charlotte Hornets,0.6538461538461539,0.42857142857142855
2019-2020,2019-12-15,Atlanta Hawks,96,101,Los Angeles Lakers,0.23076923076923078,0.8846153846153846
2019-2020,2019-12-15,Brooklyn Nets,109,89,Philadelphia 76ers,0.52,0.7407407407407407
2019-2020,2019-12-15,Denver Nuggets,111,105,New York Knicks,0.6666666666666666,0.23076923076923078
2019-2020,2019-12-15,Golden State Warriors,79,100,Sacramento Kings,0.18518518518518517,0.44
2019-2020,2019-12-16,Detroit Pistons,119,133,Washington Wizards,0.4230769230769231,0.2916666666666667
2019-2020,2019-12-16,Toronto Raptors,133,113,Cleveland Cavaliers,0.68,0.23076923076923078
2019-2020,2019-12-16,Houston Rockets,109,107,San Antonio Spurs,0.6538461538461539,0.4
2019-2020,2019-12-16,Memphis Grizzlies,118,111,Miami Heat,0.34615384615384615,0.7307692307692307
2019-2020,2019-12-16,Milwaukee Bucks,116,120,Dallas Mavericks,0.8888888888888888,0.68
2019-2020,2019-12-16,Oklahoma City Thunder,109,106,Chicago Bulls,0.44,0.35714285714285715
2019-2020,2019-12-16,Phoenix Suns,110,111,Portland Trail Blazers,0.44,0.38461538461538464
2019-2020,2019-12-17,Charlotte Hornets,110,102,Sacramento Kings,0.41379310344827586,0.46153846153846156
2019-2020,2019-12-17,Indiana Pacers,105,102,Los Angeles Lakers,0.6666666666666666,0.8888888888888888
2019-2020,2019-12-17,New York Knicks,143,120,Atlanta Hawks,0.2222222222222222,0.2222222222222222
2019-2020,2019-12-17,New Orleans Pelicans,101,108,Brooklyn Nets,0.2222222222222222,0.5384615384615384
2019-2020,2019-12-17,Utah Jazz,109,102,Orlando Magic,0.5769230769230769,0.46153846153846156
2019-2020,2019-12-17,Los Angeles Clippers,120,99,Phoenix Suns,0.7142857142857143,0.4230769230769231
2019-2020,2019-12-18,Cleveland Cavaliers,100,98,Charlotte Hornets,0.2222222222222222,0.43333333333333335
2019-2020,2019-12-18,Detroit Pistons,99,112,Toronto Raptors,0.4074074074074074,0.6923076923076923
2019-2020,2019-12-18,Philadelphia 76ers,104,108,Miami Heat,0.7142857142857143,0.7037037037037037
2019-2020,2019-12-18,Washington Wizards,109,110,Chicago Bulls,0.32,0.3448275862068966
2019-2020,2019-12-18,Minnesota Timberwolves,99,107,New Orleans Pelicans,0.4,0.21428571428571427
2019-2020,2019-12-18,Oklahoma City Thunder,126,122,Memphis Grizzlies,0.46153846153846156,0.37037037037037035
2019-2020,2019-12-18,Denver Nuggets,113,104,Orlando Magic,0.68,0.4444444444444444
2019-2020,2019-12-18,Dallas Mavericks,103,109,Boston Celtics,0.6923076923076923,0.7083333333333334
2019-2020,2019-12-18,Portland Trail Blazers,122,112,Golden State Warriors,0.4074074074074074,0.17857142857142858
2019-2020,2019-12-19,Atlanta Hawks,106,111,Utah Jazz,0.21428571428571427,0.5925925925925926
2019-2020,2019-12-19,Milwaukee Bucks,111,104,Los Angeles Lakers,0.8571428571428571,0.8571428571428571
2019-2020,2019-12-19,San Antonio Spurs,118,105,Brooklyn Nets,0.38461538461538464,0.5555555555555556
2019-2020,2019-12-19,Los Angeles Clippers,117,122,Houston Rockets,0.7241379310344828,0.6666666666666666
2019-2020,2019-12-20,Cleveland Cavaliers,114,107,Memphis Grizzlies,0.25,0.35714285714285715
2019-2020,2019-12-20,Indiana Pacers,119,105,Sacramento Kings,0.6785714285714286,0.4444444444444444
2019-2020,2019-12-20,Boston Celtics,114,93,Detroit Pistons,0.72,0.39285714285714285
2019-2020,2019-12-20,Toronto Raptors,122,118,Washington Wizards,0.7037037037037037,0.3076923076923077
2019-2020,2019-12-20,Miami Heat,129,114,New York Knicks,0.7142857142857143,0.25
2019-2020,2019-12-20,Oklahoma City Thunder,126,108,Phoenix Suns,0.48148148148148145,0.4074074074074074
2019-2020,2019-12-20,Philadelphia 76ers,98,117,Dallas Mavericks,0.6896551724137931,0.6666666666666666
2019-2020,2019-12-20,Denver Nuggets,109,100,Minnesota Timberwolves,0.6923076923076923,0.38461538461538464
2019-2020,2019-12-20,Portland Trail Blazers,118,103,Orlando Magic,0.42857142857142855,0.42857142857142855
2019-2020,2019-12-20,Golden State Warriors,106,102,New Orleans Pelicans,0.1724137931034483,0.2413793103448276
2019-2020,2019-12-21,Charlotte Hornets,107,114,Utah Jazz,0.41935483870967744,0.6071428571428571
2019-2020,2019-12-21,Brooklyn Nets,122,112,Atlanta Hawks,0.5357142857142857,0.20689655172413793
2019-2020,2019-12-21,Detroit Pistons,107,119,Chicago Bulls,0.3793103448275862,0.36666666666666664
2019-2020,2019-12-21,Philadelphia 76ers,125,108,Washington Wizards,0.6666666666666666,0.2962962962962963
2019-2020,2019-12-21,New York Knicks,102,123,Milwaukee Bucks,0.2413793103448276,0.8620689655172413
2019-2020,2019-12-21,Memphis Grizzlies,119,115,Sacramento Kings,0.3448275862068966,0.42857142857142855
2019-2020,2019-12-21,San Antonio Spurs,109,134,Los Angeles Clippers,0.4074074074074074,0.7
2019-2020,2019-12-21,Phoenix Suns,125,139,Houston Rockets,0.39285714285714285,0.6785714285714286
2019-2020,2019-12-21,Portland Trail Blazers,113,106,Minnesota Timberwolves,0.4482758620689655,0.37037037037037035
2019-2020,2019-12-22,Toronto Raptors,110,107,Dallas Mavericks,0.7142857142857143,0.6785714285714286
2019-2020,2019-12-22,Boston Celtics,119,93,Charlotte Hornets,0.7307692307692307,0.40625
2019-2020,2019-12-22,Milwaukee Bucks,117,89,Indiana Pacers,0.8666666666666667,0.6896551724137931
2019-2020,2019-12-22,Oklahoma City Thunder,118,112,Los Angeles Clippers,0.5,0.7096774193548387
2019-2020,2019-12-22,Los Angeles Lakers,104,128,Denver Nuggets,0.8275862068965517,0.7037037037037037
2019-2020,2019-12-23,Cleveland Cavaliers,121,118,Atlanta Hawks,0.27586206896551724,0.2
2019-2020,2019-12-23,Detroit Pistons,109,125,Philadelphia 76ers,0.36666666666666664,0.6774193548387096
2019-2020,2019-12-23,Indiana Pacers,120,115,Toronto Raptors,0.6666666666666666,0.7241379310344828
2019-2020,2019-12-23,New York Knicks,115,121,Washington Wizards,0.23333333333333334,0.2857142857142857
2019-2020,2019-12-23,Orlando Magic,103,95,Chicago Bulls,0.41379310344827586,0.3870967741935484
2019-2020,2019-12-23,Miami Heat,107,104,Utah Jazz,0.7241379310344828,0.6206896551724138
2019-2020,2019-12-23,Memphis Grizzlies,115,145,San Antonio Spurs,0.36666666666666664,0.39285714285714285
2019-2020,2019-12-23,Phoenix Suns,111,113,Denver Nuggets,0.3793103448275862,0.7142857142857143
2019-2020,2019-12-23,Portland Trail Blazers,94,102,New Orleans Pelicans,0.4666666666666667,0.23333333333333334
2019-2020,2019-12-23,Sacramento Kings,104,113,Houston Rockets,0.41379310344827586,0.6896551724137931
2019-2020,2019-12-23,Golden State Warriors,113,104,Minnesota Timberwolves,0.2,0.35714285714285715
2019-2020,2019-12-25,Toronto Raptors,102,118,Boston Celtics,0.7,0.7407407407407407
2019-2020,2019-12-25,Philadelphia 76ers,121,109,Milwaukee Bucks,0.6875,0.8709677419354839
2019-2020,2019-12-25,Golden State Warriors,116,104,Houston Rockets,0.22580645161290322,0.7
2019-2020,2019-12-25,Los Angeles Lakers,106,111,Los Angeles Clippers,0.8,0.6875
2019-2020,2019-12-25,Denver Nuggets,100,112,New Orleans Pelicans,0.7241379310344828,0.25806451612903225
2019-2020,2019-12-26,Detroit Pistons,132,102,Washington Wizards,0.3548387096774194,0.3103448275862069
