Season,Date,LeftTeam,LeftScore,RightScore,RightTeam,Overtime,Left_B2B,Right_B2B,Left_EWMA_7,Right_EWMA_7,Left_EWMA_28,Right_EWMA_28
2012-2013,2013-04-17,Los Angeles Lakers,99,95,Houston Rockets,1OT,0,0,16.123596348061177,23.00736208291223,21.275273006690924,22.911520112314943
2012-2013,2013-04-17,Portland Trail Blazers,88,99,Golden State Warriors,0OT,1,0,26.773997629841144,19.11391162621654,24.273173586514897,21.46665702525591
2012-2013,2013-04-17,Sacramento Kings,108,112,Los Angeles Clippers,0OT,0,1,23.596735951687034,24.593346506604703,22.466556088558544,22.116859063394475
2013-2014,2013-10-29,Indiana Pacers,97,87,Orlando Magic,0OT,0,0,1.2884038311880603e-23,1.4960248677914175e-23,2.0520772832450203e-05,2.2234890578309714e-05
2013-2014,2013-10-29,Miami Heat,107,95,Chicago Bulls,0OT,0,0,1.7757202378344155e-23,1.8458267085503466e-23,2.5839555387170984e-05,2.6455321970468705e-05
2013-2014,2013-10-29,Los Angeles Lakers,116,103,Los Angeles Clippers,0OT,0,0,1.4646637519405552e-23,1.7595483992614175e-23,2.237410249772258e-05,2.2792456723358577e-05
2013-2014,2013-10-30,Cleveland Cavaliers,98,94,Brooklyn Nets,0OT,0,0,1.3453850264295546e-23,1.3283593184093128e-23,2.3676957598358646e-05,2.296816274982079e-05
2013-2014,2013-10-30,Toronto Raptors,93,87,Boston Celtics,0OT,0,0,1.3664814084918538e-23,9.47171061844601e-24,2.2301207708276423e-05,2.0383238593740557e-05
2013-2014,2013-10-30,Philadelphia 76ers,114,110,Miami Heat,0OT,0,1,1.3329967307361294e-23,12.0,2.3717984521776238e-05,3.3103688851032915
2013-2014,2013-10-30,Detroit Pistons,113,102,Washington Wizards,0OT,0,0,1.0792609926253996e-23,1.1342835960209353e-23,1.9791931137863788e-05,2.2738634490002955e-05
2013-2014,2013-10-30,New York Knicks,90,83,Milwaukee Bucks,0OT,0,0,1.3812519532482807e-23,1.2895023178227633e-23,2.5405221001828157e-05,2.4341677639935446e-05
2013-2014,2013-10-30,New Orleans Pelicans,90,95,Indiana Pacers,0OT,0,1,1.0483031340134241e-23,12.0,2.086208995092152e-05,3.3103639331333268
2013-2014,2013-10-30,Minnesota Timberwolves,120,115,Orlando Magic,1OT,0,1,1.2837716184667524e-23,12.0,2.4841234169064668e-05,3.3103655290360554
2013-2014,2013-10-30,Houston Rockets,96,83,Charlotte Hornets,0OT,0,0,1.3222842227270572e-23,1.2134120250455335e-23,2.2183566565882572e-05,2.2206227804519427e-05
2013-2014,2013-10-30,San Antonio Spurs,101,94,Memphis Grizzlies,0OT,0,0,1.282321732754256e-23,1.2212401483230028e-23,2.2032156271477548e-05,2.295458172017743e-05
2013-2014,2013-10-30,Dallas Mavericks,118,109,Atlanta Hawks,0OT,0,0,1.3098244968201821e-23,1.1643577713987274e-23,2.3076126631176923e-05,2.113826039200711e-05
2013-2014,2013-10-30,Utah Jazz,98,101,Oklahoma City Thunder,0OT,0,0,1.056763000606522e-23,1.146597537754853e-23,2.051071821174424e-05,2.1440347140048374e-05
2013-2014,2013-10-30,Phoenix Suns,104,91,Portland Trail Blazers,0OT,0,0,1.1608871920456498e-23,1.390552742073505e-23,2.108177198074507e-05,2.3002951342217285e-05
2013-2014,2013-10-30,Sacramento Kings,90,88,Denver Nuggets,0OT,0,0,1.287262187445523e-23,1.2865474199404451e-23,2.1509619246909227e-05,2.1176662487502697e-05
2013-2014,2013-10-30,Golden State Warriors,125,94,Los Angeles Lakers,0OT,0,1,1.1415287044084389e-23,12.0,2.068311260397714e-05,3.310365658647153
2013-2014,2013-10-31,Chicago Bulls,82,81,New York Knicks,0OT,0,1,9.0,12.0,3.0820681164443715,3.310368480723002
2013-2014,2013-10-31,Los Angeles Clippers,126,115,Golden State Warriors,0OT,0,1,9.0,12.0,3.082064941380441,3.310364084277252
2013-2014,2013-11-01,Charlotte Hornets,90,84,Cleveland Cavaliers,0OT,0,0,9.0,9.0,3.0820644332224365,3.0820657080880967
2013-2014,2013-11-01,Orlando Magic,110,90,New Orleans Pelicans,0OT,0,0,16.6875,9.0,6.272599846215558,3.082063268089862
2013-2014,2013-11-01,Washington Wizards,102,109,Philadelphia 76ers,0OT,0,0,9.0,9.0,3.082064894725973,3.0820657436512677
2013-2014,2013-11-01,Atlanta Hawks,102,95,Toronto Raptors,0OT,0,0,9.0,9.0,3.0820635074813625,3.082064515553412
2013-2014,2013-11-01,Boston Celtics,98,105,Milwaukee Bucks,0OT,0,0,9.0,9.0,3.0820628530094347,3.082066284284185
2013-2014,2013-11-01,Brooklyn Nets,101,100,Miami Heat,0OT,0,0,9.0,15.75,3.0820650936868543,5.951556381974197
2013-2014,2013-11-01,Houston Rockets,113,105,Dallas Mavericks,0OT,0,0,9.0,9.0,3.0820644135791038,3.082065187272668
2013-2014,2013-11-01,Memphis Grizzlies,111,108,Detroit Pistons,1OT,0,0,9.0,9.0,3.0820650819144753,3.0820623404492262
2013-2014,2013-11-01,Minnesota Timberwolves,100,81,Oklahoma City Thunder,0OT,0,0,9.9375,9.0,3.4031130906774187,3.0820637693377706
2013-2014,2013-11-01,Denver Nuggets,98,113,Portland Trail Blazers,0OT,0,0,9.0,9.0,3.082063540769267,3.082065123842483
2013-2014,2013-11-01,Phoenix Suns,87,84,Utah Jazz,0OT,0,0,9.0,9.0,3.0820634585157833,3.0820629635119814
2013-2014,2013-11-01,Sacramento Kings,101,110,Los Angeles Clippers,0OT,0,1,9.0,18.75,3.082063829384579,6.179853566112824
2013-2014,2013-11-01,Los Angeles Lakers,85,91,San Antonio Spurs,0OT,0,0,15.75,9.0,5.951553585200682,3.0820642823328437
2013-2014,2013-11-02,Indiana Pacers,89,74,Cleveland Cavaliers,0OT,0,1,11.8125,18.75,5.541100221241678,6.17985427994409
2013-2014,2013-11-02,Philadelphia 76ers,107,104,Chicago Bulls,0OT,1,0,18.75,14.0625,6.179854313054628,5.753659520675322
2013-2014,2013-11-02,New Orleans Pelicans,105,84,Charlotte Hornets,0OT,1,1,18.75,18.75,6.179852008221596,6.179853093000199
2013-2014,2013-11-02,Dallas Mavericks,111,99,Memphis Grizzlies,0OT,1,1,18.75,20.0,6.1798537950469665,6.524681283161753
2013-2014,2013-11-02,Milwaukee Bucks,90,97,Toronto Raptors,0OT,1,1,18.75,18.75,6.179854816402517,6.179853169653176
2013-2014,2013-11-02,Utah Jazz,93,104,Houston Rockets,0OT,1,1,18.75,18.75,6.179851724649086,6.179853074711579
2013-2014,2013-11-02,Portland Trail Blazers,115,105,San Antonio Spurs,0OT,1,1,18.75,18.75,6.179853735991277,6.179852952516786
2013-2014,2013-11-02,Golden State Warriors,98,87,Sacramento Kings,0OT,0,1,15.75,18.75,5.951552220497166,6.179852530806333
2013-2014,2013-11-03,Detroit Pistons,87,77,Boston Celtics,0OT,0,0,15.0,14.0625,6.074700887262171,5.753654958197239
2013-2014,2013-11-03,Miami Heat,103,93,Washington Wizards,0OT,0,0,17.859375,14.0625,8.241004283542436,5.753656728008601
2013-2014,2013-11-03,Orlando Magic,107,86,Brooklyn Nets,0OT,0,0,18.38671875,14.0625,8.51929285123798,5.753656900472909
2013-2014,2013-11-03,Oklahoma City Thunder,103,96,Phoenix Suns,0OT,0,0,14.0625,14.0625,5.753655752493739,5.753655483065405
2013-2014,2013-11-03,New York Knicks,100,109,Minnesota Timberwolves,0OT,0,0,11.8125,14.58984375,5.541103891347363,6.031949397269724
2013-2014,2013-11-03,Los Angeles Lakers,105,103,Atlanta Hawks,0OT,0,0,17.859375,14.0625,8.241001859228653,5.753655525510004
2013-2014,2013-11-04,Cleveland Cavaliers,93,92,Minnesota Timberwolves,0OT,0,1,19.546875,22.9423828125,8.438898656455697,8.926297714699398
2013-2014,2013-11-04,Philadelphia 76ers,90,110,Golden State Warriors,0OT,0,0,19.546875,17.859375,8.438898685156746,8.241000676269243
2013-2014,2013-11-04,Memphis Grizzlies,95,88,Boston Celtics,0OT,0,1,20.25,22.546875,8.737803395273385,8.667195995562947
2013-2014,2013-11-04,Los Angeles Clippers,137,118,Houston Rockets,0OT,0,0,14.66015625,19.546875,7.856905069572294,8.438897611729773
2013-2014,2013-11-05,Toronto Raptors,95,104,Miami Heat,0OT,0,0,14.66015625,19.0458984375,7.856904749611853,10.225555437220494
2013-2014,2013-11-05,Brooklyn Nets,104,88,Utah Jazz,0OT,0,0,16.91015625,14.66015625,8.069460024310047,7.85690358342974
2013-2014,2013-11-05,Detroit Pistons,91,99,Indiana Pacers,0OT,0,0,17.4375,11.7333984375,8.347749044963285,7.3414029133912795
2013-2014,2013-11-05,New York Knicks,97,102,Charlotte Hornets,0OT,0,0,15.64453125,14.66015625,7.8852137179455735,7.856904687749515
2013-2014,2013-11-05,New Orleans Pelicans,98,104,Phoenix Suns,0OT,0,0,14.66015625,16.91015625,7.856903812285279,8.069458795665494
2013-2014,2013-11-05,Dallas Mavericks,123,104,Los Angeles Lakers,0OT,0,0,14.66015625,19.0458984375,7.856905254332257,10.225553335764195
2013-2014,2013-11-05,Denver Nuggets,94,102,San Antonio Spurs,0OT,0,0,7.91015625,14.66015625,4.9874136731652055,7.856904574373196
2013-2014,2013-11-05,Portland Trail Blazers,101,116,Houston Rockets,0OT,0,1,14.66015625,26.66015625,7.856905206671708,11.167249500575995
2013-2014,2013-11-05,Sacramento Kings,100,105,Atlanta Hawks,0OT,0,0,14.66015625,16.91015625,7.856904234034237,8.069458832457542
2013-2014,2013-11-06,Charlotte Hornets,92,90,Toronto Raptors,0OT,1,1,22.9951171875,22.9951171875,10.625394019628859,10.625394077224827
2013-2014,2013-11-06,Indiana Pacers,97,80,Chicago Bulls,0OT,1,0,20.800048828125,9.511962890625,10.145444091778087,6.994813333494343
2013-2014,2013-11-06,Orlando Magic,98,90,Los Angeles Clippers,0OT,0,0,14.50689697265625,17.246337890625,9.744935880557511,9.892608556145307
2013-2014,2013-11-06,Philadelphia 76ers,102,116,Washington Wizards,0OT,0,0,19.9951171875,12.6826171875,10.397095293078795,7.51294540068856
2013-2014,2013-11-06,Boston Celtics,97,87,Utah Jazz,0OT,0,1,21.6826171875,22.9951171875,10.594989156677036,10.625392991469068
2013-2014,2013-11-06,Memphis Grizzlies,84,99,New Orleans Pelicans,0OT,0,1,20.390625,22.9951171875,10.656193430623421,10.625393204541467
2013-2014,2013-11-06,Milwaukee Bucks,109,104,Cleveland Cavaliers,0OT,0,0,10.9951171875,19.9951171875,7.315050486982923,10.397095268200003
2013-2014,2013-11-06,Minnesota Timberwolves,93,106,Golden State Warriors,0OT,0,0,21.90509033203125,19.0458984375,10.819585058282831,10.225552310345158
2013-2014,2013-11-06,San Antonio Spurs,99,96,Phoenix Suns,0OT,1,1,22.9951171875,24.6826171875,10.625393914071596,10.823289223550631
2013-2014,2013-11-06,Oklahoma City Thunder,107,93,Dallas Mavericks,0OT,0,1,12.6826171875,22.9951171875,7.512944613404988,10.625394547136928
2013-2014,2013-11-07,Miami Heat,102,97,Los Angeles Clippers,0OT,0,1,19.71331787109375,24.93475341796875,11.945814403964018,12.520704517790458
2013-2014,2013-11-07,Denver Nuggets,109,107,Atlanta Hawks,0OT,0,0,13.449462890625,18.511962890625,7.405261079354856,10.07685551588769
2013-2014,2013-11-07,Houston Rockets,98,99,Los Angeles Lakers,0OT,0,0,23.996337890625,19.71331787109375,12.762098556385135,11.945812582368724
2013-2014,2013-11-08,Charlotte Hornets,91,101,New York Knicks,0OT,0,0,21.93475341796875,13.35003662109375,12.292404566360805,9.233206019530227
2013-2014,2013-11-08,Indiana Pacers,91,84,Toronto Raptors,0OT,0,0,20.700027465820312,21.93475341796875,11.876371870280884,12.292404616286442
2013-2014,2013-11-08,Orlando Magic,89,91,Boston Celtics,0OT,0,0,17.16012954711914,21.19647216796875,11.529201256749614,12.266048864705777
2013-2014,2013-11-08,Philadelphia 76ers,94,79,Cleveland Cavaliers,0OT,0,0,20.24725341796875,20.24725341796875,12.094509475213366,12.0945094536478
2013-2014,2013-11-08,Washington Wizards,112,108,Brooklyn Nets,1OT,0,0,16.13397216796875,13.88397216796875,9.594455644592104,9.381900924945453
2013-2014,2013-11-08,Detroit Pistons,110,119,Oklahoma City Thunder,0OT,0,0,14.1064453125,16.13397216796875,9.606492453647641,9.594454962154858
2013-2014,2013-11-08,Chicago Bulls,97,73,Utah Jazz,0OT,0,0,14.350479125976562,21.93475341796875,9.145325707630649,12.29240367512598
2013-2014,2013-11-08,Minnesota Timberwolves,116,108,Dallas Mavericks,0OT,0,0,21.321613311767578,21.93475341796875,12.460734253850397,12.292405023618098
2013-2014,2013-11-08,New Orleans Pelicans,96,85,Los Angeles Lakers,0OT,0,1,21.93475341796875,26.784988403320312,12.292403859822508,14.432308266343293
2013-2014,2013-11-08,San Antonio Spurs,76,74,Golden State Warriors,0OT,0,0,21.93475341796875,19.71331787109375,12.292404474861108,11.945811693509654
2013-2014,2013-11-08,Phoenix Suns,114,103,Denver Nuggets,0OT,0,1,22.88397216796875,22.08709716796875,12.46394511767944,10.204898246295901
2013-2014,2013-11-08,Portland Trail Blazers,104,91,Sacramento Kings,0OT,0,0,12.93475341796875,12.93475341796875,9.210359800849531,9.210359015888141
2013-2014,2013-11-09,Toronto Raptors,115,91,Utah Jazz,0OT,1,1,28.451065063476562,28.451065063476562,14.754997401370135,14.75499652511729
2013-2014,2013-11-09,Atlanta Hawks,104,94,Orlando Magic,0OT,0,1,19.412979125976562,24.870097160339355,11.816917563712396,14.044428756284123
2013-2014,2013-11-09,Brooklyn Nets,91,96,Indiana Pacers,0OT,1,1,23.662979125976562,27.525020599365234,12.390045688742319,14.367656568882202
2013-2014,2013-11-09,Cleveland Cavaliers,127,125,Philadelphia 76ers,2OT,1,1,27.185440063476562,27.185440063476562,14.570750180982435,14.570750201060719
2013-2014,2013-11-09,Miami Heat,110,111,Boston Celtics,0OT,0,1,20.088741302490234,27.897354125976562,13.436978240772614,14.730459287829516
2013-2014,2013-11-09,Houston Rockets,94,107,Los Angeles Clippers,0OT,0,0,22.497940063476562,23.025798797607422,14.144553921052037,13.935307483316578
2013-2014,2013-11-09,Memphis Grizzlies,108,90,Golden State Warriors,0OT,0,1,15.352294921875,26.784988403320312,11.469509012053006,14.43230743878485
2013-2014,2013-11-09,Milwaukee Bucks,83,91,Dallas Mavericks,0OT,0,1,11.388565063476562,28.451065063476562,8.773059114161502,14.754997780609953
2013-2014,2013-11-09,Sacramento Kings,85,96,Portland Trail Blazers,0OT,1,1,21.701065063476562,21.701065063476562,11.88550666996482,11.885507400790942
2013-2014,2013-11-10,New York Knicks,89,120,San Antonio Spurs,0OT,0,0,16.509395599365234,21.338298797607422,11.085620913481016,13.737411251098392
2013-2014,2013-11-10,Oklahoma City Thunder,106,105,Washington Wizards,1OT,0,0,18.075359344482422,19.012859344482422,11.39876060334232,11.719807568261169
2013-2014,2013-11-10,Phoenix Suns,101,94,New Orleans Pelicans,0OT,0,0,21.872234344482422,21.338298797607422,13.886107004504531,13.73741071796743
2013-2014,2013-11-10,Los Angeles Lakers,90,113,Minnesota Timberwolves,0OT,0,0,24.066555976867676,20.993407487869263,15.592333800433128,13.883323746797787
2013-2014,2013-11-11,Charlotte Hornets,94,103,Atlanta Hawks,0OT,0,0,16.003724098205566,19.919800758361816,12.790003652453143,13.325247210399924
2013-2014,2013-11-11,Indiana Pacers,95,79,Memphis Grizzlies,0OT,0,0,24.482824087142944,17.635665893554688,15.53629207932833,13.024104720317052
2013-2014,2013-11-11,Philadelphia 76ers,85,109,San Antonio Spurs,0OT,0,1,26.166810035705566,28.003724098205566,16.35443150603242,16.100348406195053
2013-2014,2013-11-11,Boston Celtics,120,105,Orlando Magic,0OT,0,0,24.692261695861816,22.989429652690887,15.85077862167386,15.256110063413942
2013-2014,2013-11-11,Chicago Bulls,96,81,Cleveland Cavaliers,0OT,0,0,12.804108381271362,26.166810035705566,10.250172040809137,16.354431488628055
2013-2014,2013-11-11,Houston Rockets,110,104,Toronto Raptors,2OT,0,0,21.655091285705566,25.003724098205566,15.342901080198496,15.872048877049735
2013-2014,2013-11-11,Utah Jazz,81,100,Denver Nuggets,0OT,0,0,25.003724098205566,16.067994117736816,15.872048117491682,11.105293869442871
2013-2014,2013-11-11,Portland Trail Blazers,109,103,Detroit Pistons,0OT,0,0,21.206849098205566,12.701156616210938,13.384702610198094,10.62235396962346
2013-2014,2013-11-11,Los Angeles Clippers,109,107,Minnesota Timberwolves,0OT,0,1,21.952011823654175,27.745055615901947,15.161520993267283,16.23619797115656
2013-2014,2013-11-12,Miami Heat,118,95,Milwaukee Bucks,0OT,0,0,15.224937736988068,11.554550886154175,13.713725151220933,9.949736460865177
2013-2014,2013-11-12,Dallas Mavericks,105,95,Washington Wizards,0OT,0,0,18.752793073654175,20.632233381271362,14.777425122626827,13.562116191750762
2013-2014,2013-11-12,Golden State Warriors,113,95,Detroit Pistons,0OT,0,1,18.049916982650757,21.525867462158203,14.516999767009807,13.200122661373564
2013-2014,2013-11-12,Los Angeles Lakers,116,95,New Orleans Pelicans,0OT,0,0,22.537437736988068,21.002793073654175,16.59787317540517,14.98997908846404
2013-2014,2013-11-13,Orlando Magic,94,91,Milwaukee Bucks,0OT,0,1,21.931554179638624,20.66591316461563,16.306425964600194,12.573892567012406
2013-2014,2013-11-13,Philadelphia 76ers,123,117,Houston Rockets,1OT,0,0,23.71883064508438,23.05598884820938,17.25847867764285,17.023751352514513
2013-2014,2013-11-13,Boston Celtics,83,89,Charlotte Hornets,0OT,0,0,22.88939720392227,18.00209480524063,16.821899661355822,14.168742761757835
2013-2014,2013-11-13,Atlanta Hawks,91,95,New York Knicks,0OT,0,0,20.20488792657852,13.714901268482208,14.63270537025154,11.81607595391557
2013-2014,2013-11-13,Memphis Grizzlies,87,103,Toronto Raptors,0OT,0,0,18.92006206512451,24.93959480524063,14.371667468622032,17.482430001628128
2013-2014,2013-11-13,Minnesota Timberwolves,124,95,Cleveland Cavaliers,0OT,0,0,24.606593783944845,23.71883064508438,17.15599086917138,17.258478662556303
2013-2014,2013-11-13,San Antonio Spurs,92,79,Washington Wizards,0OT,0,1,24.75209480524063,27.47417503595352,17.038233041755284,15.937142661285192
2013-2014,2013-11-13,Denver Nuggets,111,99,Los Angeles Lakers,0OT,0,1,18.03824669122696,28.90307830274105,12.70839385353609,18.763537094342745
2013-2014,2013-11-13,Utah Jazz,111,105,New Orleans Pelicans,0OT,0,1,23.06459480524063,27.75209480524063,16.840336596493977,17.266532254776866
2013-2014,2013-11-13,Portland Trail Blazers,90,89,Phoenix Suns,0OT,0,0,20.92885261774063,15.977348864078522,14.6842428095534,14.076191896742904
2013-2014,2013-11-13,Sacramento Kings,107,86,Brooklyn Nets,0OT,0,0,11.928852617740631,12.549614489078522,11.602197076116525,11.981300601699896
2013-2014,2013-11-13,Los Angeles Clippers,111,103,Oklahoma City Thunder,0OT,0,0,21.348006650805473,15.078667223453522,16.22443377418769,12.367698755815606
2013-2014,2013-11-14,New York Knicks,106,109,Houston Rockets,0OT,1,1,22.286175951361656,30.541991636157036,14.311518991576564,19.50487194889282
2013-2014,2013-11-14,Golden State Warriors,116,115,Oklahoma City Thunder,0OT,0,1,19.15307830274105,23.30900041759014,15.66574652812146,14.825098841621426
2013-2014,2013-11-15,Indiana Pacers,104,77,Milwaukee Bucks,0OT,0,0,12.809018558822572,20.624576155096292,14.345345907680718,13.981412225151061
2013-2014,2013-11-15,Toronto Raptors,80,96,Chicago Bulls,0OT,0,0,23.028522077947855,9.113799917511642,18.236256208307854,10.373429626329065
2013-2014,2013-11-15,Atlanta Hawks,113,103,Philadelphia 76ers,0OT,0,0,20.36524945870042,23.279342237859964,15.766043061728148,18.363175928658308
2013-2014,2013-11-15,Boston Celtics,96,109,Portland Trail Blazers,0OT,0,0,21.875285927206278,20.772479597479105,17.663691858654452,15.810717013275184
2013-2014,2013-11-15,Cleveland Cavaliers,80,86,Charlotte Hornets,0OT,0,0,22.341842237859964,19.126178327947855,18.042129542215868,15.36386857707665
2013-2014,2013-11-15,Miami Heat,110,104,Dallas Mavericks,0OT,0,0,13.173020607791841,14.661334577947855,13.937072128889318,14.795524978009096
2013-2014,2013-11-15,Denver Nuggets,117,113,Minnesota Timberwolves,0OT,0,0,19.146513763815165,22.841209003468975,14.098001330829739,17.953290539388746
2013-2014,2013-11-15,Phoenix Suns,98,100,Brooklyn Nets,1OT,0,0,17.98725873604417,16.05915815010667,15.283643154251576,13.467738571509184
2013-2014,2013-11-15,Utah Jazz,82,91,San Antonio Spurs,0OT,0,0,21.973834577947855,22.923053327947855,17.679673458792042,17.85121508613508
2013-2014,2013-11-15,Los Angeles Lakers,86,89,Memphis Grizzlies,0OT,0,0,25.25798154529184,19.642534911632538,19.346752130530152,15.539768828329919
2013-2014,2013-11-15,Sacramento Kings,90,97,Detroit Pistons,0OT,0,0,15.709979597479105,15.831225335597992,13.139122079059389,13.522572239280652
2013-2014,2013-11-16,Charlotte Hornets,81,97,Miami Heat,0OT,1,1,26.34463374596089,21.87976545584388,17.61463626141619,16.28623956827626
2013-2014,2013-11-16,Orlando Magic,100,108,Dallas Mavericks,0OT,0,1,16.002374419535045,22.99600093346089,16.02949617701528,17.08548877262916
2013-2014,2013-11-16,Washington Wizards,96,103,Cleveland Cavaliers,1OT,0,1,18.340667593292892,28.756381678394973,15.731468243965576,20.108189573787186
2013-2014,2013-11-16,New York Knicks,90,110,Atlanta Hawks,0OT,0,1,21.53597397264093,27.273937094025314,15.487630612198949,17.989074574712415
2013-2014,2013-11-16,Chicago Bulls,110,94,Indiana Pacers,0OT,1,1,18.83534993813373,21.60676391911693,12.96836551416844,16.666356534737222
2013-2014,2013-11-16,Houston Rockets,122,111,Denver Nuggets,0OT,0,1,26.179870295338333,26.359885322861373,19.98935987008664,16.43607020456562
2013-2014,2013-11-16,Minnesota Timberwolves,106,88,Boston Celtics,0OT,1,1,29.13090675260173,28.40646444540471,20.025477398741245,19.755851040816214
2013-2014,2013-11-16,New Orleans Pelicans,135,98,Philadelphia 76ers,0OT,0,1,18.45791499596089,29.459506678394973,16.804344350763582,20.40709483013015
2013-2014,2013-11-16,Milwaukee Bucks,79,92,Oklahoma City Thunder,0OT,1,0,27.46843211632222,22.111312734894454,16.32752172686478,15.932814572582664
2013-2014,2013-11-16,Golden State Warriors,102,88,Utah Jazz,0OT,0,1,19.77360654529184,28.48037593346089,16.66150917835974,19.77073046163397
2013-2014,2013-11-16,Los Angeles Clippers,110,103,Brooklyn Nets,0OT,0,1,15.756190305808559,25.29436861258,15.96332485863858,16.19410142864648
2013-2014,2013-11-17,Toronto Raptors,110,118,Portland Trail Blazers,1OT,0,0,21.95354366884567,20.684519773581997,18.889691766773392,16.78717324931939
2013-2014,2013-11-17,Sacramento Kings,86,97,Memphis Grizzlies,0OT,0,0,17.836863523581997,20.048925887793303,14.471367414547318,16.552308532523796
2013-2014,2013-11-17,Los Angeles Lakers,114,99,Detroit Pistons,0OT,0,0,23.20761461922666,17.90506425127387,19.852297625631962,14.803751679471576
2013-2014,2013-11-18,Brooklyn Nets,98,108,Portland Trail Blazers,0OT,0,1,23.22808234457625,28.763389830186497,17.119500524950396,19.284609576952533
2013-2014,2013-11-18,Chicago Bulls,86,81,Charlotte Hornets,0OT,0,0,19.594884340200224,23.818856482103,14.323351319653735,18.35085592695886
2013-2014,2013-11-18,Oklahoma City Thunder,115,113,Denver Nuggets,0OT,0,0,21.43761341337813,23.827435494109523,16.893010491572845,17.329245159486728
2013-2014,2013-11-18,Dallas Mavericks,97,94,Philadelphia 76ers,0OT,0,0,21.93525052507175,25.570972506597172,17.89217754488306,20.771429406854786
2013-2014,2013-11-18,Utah Jazz,87,98,Golden State Warriors,0OT,0,0,25.02021146257175,20.12265368172666,20.21981273071482,17.524661344856423
2013-2014,2013-11-18,Los Angeles Clippers,102,106,Memphis Grizzlies,0OT,0,1,17.862857047017314,27.036694415844977,16.919457576632016,18.721114840625603
2013-2014,2013-11-19,Washington Wizards,104,100,Minnesota Timberwolves,0OT,0,0,15.190594140920439,19.039601286253856,15.864385150927648,19.03093491489704
2013-2014,2013-11-19,Detroit Pistons,92,86,New York Knicks,0OT,0,0,19.071598641341552,15.835489019707893,15.91431031431008,15.368692170237072
2013-2014,2013-11-19,Miami Heat,104,88,Atlanta Hawks,0OT,0,0,15.980526051684137,18.25619221154193,16.0132048637657,17.387467909880048
2013-2014,2013-11-19,Houston Rockets,109,85,Boston Celtics,0OT,0,0,17.79463278084586,18.73397718790511,19.00178647434972,18.81333453755322
2013-2014,2013-11-19,Sacramento Kings,107,104,Phoenix Suns,0OT,0,0,19.033235732014873,11.281124834451475,15.62619125470273,14.433800146672414
2013-2014,2013-11-20,Charlotte Hornets,95,91,Brooklyn Nets,0OT,0,0,22.39810677118294,22.06579631882414,18.989029691739606,17.921659789166277
2013-2014,2013-11-20,Cleveland Cavaliers,91,98,Washington Wizards,0OT,0,1,14.68854264042966,23.39294560569033,18.058896499811297,18.080634450863673
2013-2014,2013-11-20,New York Knicks,96,103,Indiana Pacers,1OT,1,0,23.87661676478092,11.89901514628309,17.61912719297934,15.194460452319918
2013-2014,2013-11-20,Orlando Magic,92,120,Miami Heat,0OT,0,1,10.12575128118101,23.985394538763103,14.715932532910083,18.219190735230136
2013-2014,2013-11-20,Philadelphia 76ers,98,108,Toronto Raptors,0OT,0,0,23.38367203496091,16.714776235294266,21.087243802136904,18.413210998622358
2013-2014,2013-11-20,Atlanta Hawks,93,85,Detroit Pistons,0OT,1,1,25.692144158656447,26.303698981006164,19.498677019543493,18.127116499530075
2013-2014,2013-11-20,Milwaukee Bucks,82,91,Portland Trail Blazers,0OT,0,0,13.753683599305077,25.179406779479905,14.939864741236857,19.798430893696068
2013-2014,2013-11-20,Minnesota Timberwolves,98,102,Los Angeles Clippers,0OT,1,0,26.27970096469039,19.04785708894724,21.028801472490343,17.748257518864136
2013-2014,2013-11-20,New Orleans Pelicans,105,98,Utah Jazz,0OT,0,0,10.90269966669075,23.07386894769661,15.29814255736284,20.609088562058385
2013-2014,2013-11-20,San Antonio Spurs,104,93,Boston Celtics,0OT,0,1,9.2366230065345,26.050482890928834,14.975453647572316,20.826208017721964
2013-2014,2013-11-20,Phoenix Suns,106,113,Sacramento Kings,0OT,1,1,20.460843625838606,26.274926799011155,16.748710481384663,17.858867719895645
2013-2014,2013-11-20,Dallas Mavericks,123,120,Houston Rockets,0OT,0,1,21.33857842035286,25.345974585634394,18.591435707752378,21.001663269222153
2013-2014,2013-11-20,Golden State Warriors,81,88,Memphis Grizzlies,1OT,0,0,20.318992695971247,24.2081406089128,18.272863401189454,19.309979451624333
2013-2014,2013-11-21,Oklahoma City Thunder,105,91,Los Angeles Clippers,0OT,0,1,15.793993158768899,26.28589281671043,16.502895793416222,19.834584586528678
2013-2014,2013-11-21,Denver Nuggets,97,87,Chicago Bulls,0OT,0,0,16.802199349077455,15.01659183102197,16.85495643421941,14.429067367450262
2013-2014,2013-11-22,Charlotte Hornets,91,98,Phoenix Suns,0OT,0,0,21.598935058790403,20.509224539534216,19.542214798190454,17.600249632496336
2013-2014,2013-11-22,Philadelphia 76ers,115,107,Milwaukee Bucks,1OT,0,0,22.15331551966551,16.736447024609106,21.36099968104376,16.03229654739794
2013-2014,2013-11-22,Toronto Raptors,96,88,Washington Wizards,0OT,0,0,18.402061632353025,22.15853190320081,19.043080639709512,18.754794904494194
2013-2014,2013-11-22,Boston Celtics,82,97,Indiana Pacers,0OT,0,0,23.65339662614747,16.63069601978424,21.13472728290049,16.574032901000262
2013-2014,2013-11-22,Detroit Pistons,89,96,Atlanta Hawks,0OT,0,0,23.795830676815967,23.45183108924425,18.79508671600169,19.983989949164336
